midpoint,sessions,events,event_rate,standard_error,feature
108.0,11512,2618,0.22741487143849895,0.003906674360544905,baseline_sbp
120.0,10176,1003,0.09856525157232704,0.0029548845400337253,baseline_sbp
129.0,11529,852,0.07390059849076243,0.002436446951479457,baseline_sbp
136.0,9815,642,0.06541008660213958,0.0024956734272762646,baseline_sbp
142.0,11630,680,0.058469475494411005,0.0021756645920291604,baseline_sbp
148.0,9959,615,0.061753188071091474,0.0024120170544849814,baseline_sbp
155.0,10444,581,0.05563002680965148,0.002242808988911866,baseline_sbp
163.0,11183,653,0.05839220245014755,0.0022173450918377426,baseline_sbp
173.0,10553,644,0.06102530086231404,0.002330203985235938,baseline_sbp
188.0,9957,779,0.07823641659134277,0.0026912249152887518,baseline_sbp
1.4131598547621211,10676,515,0.04823904083926564,0.0020737623839489905,fluid_excess_pct
2.318840579710137,10679,527,0.049349189999063584,0.0020959708212291827,fluid_excess_pct
2.845528455284565,10698,546,0.05103757711721817,0.002127738419837194,fluid_excess_pct
3.284671532846723,10650,599,0.05624413145539906,0.0022325111470730304,fluid_excess_pct
3.703703703703704,10680,742,0.06947565543071162,0.002460336841170541,fluid_excess_pct
4.151291512915129,10679,830,0.0777226332053563,0.002590831896515419,fluid_excess_pct
4.640718562874264,10670,1011,0.09475164011246485,0.0028352739761804122,fluid_excess_pct
5.250000000000004,10674,1139,0.10670788832677534,0.002988349667587553,fluid_excess_pct
6.122448979591833,10677,1420,0.13299615997002903,0.0032862866303371564,fluid_excess_pct
8.067632850241555,10675,1738,0.16281030444964872,0.0035732955579171697,fluid_excess_pct
0.0,32028,2382,0.07437242412888723,0.0014660851708045335,initial_uf_ml_kg_h
6.968641114982579,10675,566,0.05302107728337237,0.0021687549746898494,initial_uf_ml_kg_h
9.036144578313252,10677,743,0.06958883581530392,0.002462536183854483,initial_uf_ml_kg_h
10.358565737051793,10693,778,0.07275787898625269,0.002511810129636117,initial_uf_ml_kg_h
11.709346391313604,10696,792,0.07404637247569185,0.0025318374252385795,initial_uf_ml_kg_h
13.111888111888112,10638,875,0.0822523030644858,0.002663825010630424,initial_uf_ml_kg_h
14.619883040935674,10715,1242,0.11591227251516566,0.0030925469631252786,initial_uf_ml_kg_h
18.00253675122013,10636,1689,0.15880030086498684,0.0035439374697642653,initial_uf_ml_kg_h
84.0,11323,4241,0.3745473814360152,0.00454851714926152,prior_nadir_sbp
98.0,10351,1820,0.1758284223746498,0.0037416417432688085,prior_nadir_sbp
107.0,11238,1061,0.09441181704929703,0.002758252608529564,prior_nadir_sbp
114.0,10101,516,0.051084051084051084,0.0021906568442040006,prior_nadir_sbp
119.0,10768,413,0.03835438335809807,0.00185074893065484,prior_nadir_sbp
125.0,10629,300,0.028224668360146768,0.0016063906049937138,prior_nadir_sbp
131.0,10048,211,0.02099920382165605,0.0014303855816084374,prior_nadir_sbp
138.0,11551,211,0.018266816725824604,0.0012460009663515736,prior_nadir_sbp
147.0,9431,109,0.011557629095535999,0.0011006042385328975,prior_nadir_sbp
159.0,10488,101,0.009630053394355454,0.0009536010809275929,prior_nadir_sbp
