model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_select__estimator__C,param_model__min_samples_leaf,param_model__max_depth,param_model__ccp_alpha,param_preprocess__numeric_pca__pca__n_components,param_model__max_features,param_model__max_leaf_nodes,param_model__learning_rate,param_model__l2_regularization
Logistic regression,0.44867579142252606,0.05871819597033364,0.05489794413248698,0.0057924473170744015,0.01,,"{'model__C': 0.01, 'model__class_weight': None}",0.5090419800545326,0.3933767953699665,0.35332072424224453,0.4185798332222479,0.06602359283204079,1,,,,,,,,,
Logistic regression,0.3650020758310954,0.022699226295374783,0.053535779317220054,0.003483452132679126,0.1,,"{'model__C': 0.1, 'model__class_weight': None}",0.5082337496163057,0.39301238506498715,0.3429495535529029,0.41473189607806527,0.06920269376292017,2,,,,,,,,,
Logistic regression,0.393250306447347,0.00998081687899661,0.056743780771891274,0.003337390028307551,1.0,,"{'model__C': 1.0, 'model__class_weight': None}",0.5080706438138026,0.39284380866853363,0.3403129641612668,0.41374247221453436,0.07006294966722147,3,,,,,,,,,
Logistic regression,0.3547068436940511,0.00380202201376052,0.043906450271606445,0.00031554444491805586,10.0,,"{'model__C': 10.0, 'model__class_weight': None}",0.5080572004856658,0.39282906806253093,0.3400068060690922,0.4136310248724297,0.07016539898094196,4,,,,,,,,,
Logistic regression,0.35264237721761066,0.024688252753673614,0.046385765075683594,0.005159253787614367,0.01,balanced,"{'model__C': 0.01, 'model__class_weight': 'balanced'}",0.49966550356794837,0.37740799516127305,0.32755344347749976,0.4015423140689071,0.0723071657075843,5,,,,,,,,,
Logistic regression,0.3794368902842204,0.022103104214064577,0.052362680435180664,0.00545125044661253,0.1,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced'}",0.4987572372672121,0.37617493552229037,0.3168622802774716,0.3972648176889914,0.07574092329306478,6,,,,,,,,,
Logistic regression,0.39003944396972656,0.005781175007222691,0.055788675944010414,0.008300378265918418,1.0,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced'}",0.49867193596187787,0.3760153535430564,0.3160842877748559,0.3969238590932634,0.07599314232602046,7,,,,,,,,,
Logistic regression,0.3451236883799235,0.010721114527755217,0.044873714447021484,0.0015276811432011219,10.0,balanced,"{'model__C': 10.0, 'model__class_weight': 'balanced'}",0.4986674820814818,0.37600175927343665,0.3160015828729201,0.39689027474261285,0.0760217304121991,8,,,,,,,,,
L1 feature selection,0.48282496134440106,0.026926083516093942,0.045415242513020836,0.0032694097086592377,0.1,,"{'model__C': 0.1, 'select__estimator__C': 0.01}",0.4988201924767351,0.37781024187217044,0.3344412229279671,0.4036905524256242,0.06955790998985957,1,0.01,,,,,,,,
L1 feature selection,0.5386805534362793,0.06801949353861733,0.05246925354003906,0.00767461045754813,1.0,,"{'model__C': 1.0, 'select__estimator__C': 0.01}",0.4987877900114357,0.3777986699490342,0.33445689070284285,0.4036811168877709,0.06953937451326939,2,0.01,,,,,,,,
L1 feature selection,0.9800764719645182,0.018386828104169646,0.044728994369506836,0.0011045844170818652,0.1,,"{'model__C': 0.1, 'select__estimator__C': 0.1}",0.4988713683717203,0.3766148839117283,0.31796724325080367,0.3978178318447507,0.0753602431534865,3,0.1,,,,,,,,
L1 feature selection,6.597548961639404,0.479666545826318,0.053369760513305664,0.006922197241571245,0.1,,"{'model__C': 0.1, 'select__estimator__C': 1.0}",0.4988713683717203,0.3765965599476927,0.31796724325080367,0.3978117238567389,0.0753619621392067,4,1.0,,,,,,,,
L1 feature selection,1.0626221497853596,0.04510028435947413,0.054498910903930664,0.009772244648139522,1.0,,"{'model__C': 1.0, 'select__estimator__C': 0.1}",0.4988499368768452,0.37660998222268594,0.3171607710571323,0.3975402300522211,0.07563638762623937,5,0.1,,,,,,,,
L1 feature selection,6.181819756825765,0.5438039573977534,0.05551465352376302,0.005933310685172711,1.0,,"{'model__C': 1.0, 'select__estimator__C': 1.0}",0.4988499368768452,0.3765327415692227,0.3171607710571323,0.39751448316773336,0.07564352078200216,6,1.0,,,,,,,,
Decision tree,0.6528763771057129,0.020929336208355496,0.057616074879964195,0.0018494150781421463,,,"{'model__min_samples_leaf': 100, 'model__max_depth': 8, 'model__class_weight': None, 'model__ccp_alpha': 0.0}",0.4346580963919598,0.367225700703095,0.36268372625718553,0.3881891744507468,0.03291076736419997,1,,100.0,8,0.0,,,,,
Decision tree,0.7184195518493652,0.029174141434757574,0.05032086372375488,0.006229110400591196,,,"{'model__min_samples_leaf': 250, 'model__max_depth': 12, 'model__class_weight': None, 'model__ccp_alpha': 0.0001}",0.4340917893775569,0.3615246866069751,0.365097363605403,0.386904613196645,0.033398235504090996,2,,250.0,12,0.0001,,,,,
Decision tree,0.5304690996805826,0.01328787888777969,0.04429276784261068,0.0011228472993593858,,,"{'model__min_samples_leaf': 250, 'model__max_depth': 5, 'model__class_weight': None, 'model__ccp_alpha': 0.0001}",0.43916534034451227,0.3588011078572244,0.35139716327837395,0.38312120382670356,0.03974429541751251,3,,250.0,5,0.0001,,,,,
Decision tree,0.7727753321329752,0.026894829123494172,0.05413007736206055,0.0035293907855423823,,,"{'model__min_samples_leaf': 100, 'model__max_depth': None, 'model__class_weight': None, 'model__ccp_alpha': 0.0}",0.4308643160057752,0.36063039559772514,0.35772171288689053,0.38307214149679697,0.03381502690620004,4,,100.0,,0.0,,,,,
Decision tree,0.5536258220672607,0.025495513280376428,0.062418858210245766,0.004674012302188958,,,"{'model__min_samples_leaf': 20, 'model__max_depth': 5, 'model__class_weight': None, 'model__ccp_alpha': 0.0}",0.4357150380891151,0.36148878834528925,0.34365251663195856,0.38028544768878764,0.039865296237195216,5,,20.0,5,0.0,,,,,
Decision tree,0.5256038506825765,0.015958401947059445,0.05781348546346029,0.0069727302269872535,,,"{'model__min_samples_leaf': 20, 'model__max_depth': 5, 'model__class_weight': None, 'model__ccp_alpha': 0.0001}",0.4340713092674167,0.3599714355668262,0.34024440235688536,0.3780957157303761,0.040391742255767374,6,,20.0,5,0.0001,,,,,
Decision tree,0.527676502863566,0.009911694337647131,0.04861632982889811,0.0041804110754246875,,balanced,"{'model__min_samples_leaf': 100, 'model__max_depth': 5, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.0}",0.39647630344059714,0.34572494977612506,0.3496693556516253,0.36395686962278245,0.02305102696629212,7,,100.0,5,0.0,,,,,
Decision tree,0.5102047125498453,0.01037107806897535,0.0436402161916097,0.0013766492507675263,,balanced,"{'model__min_samples_leaf': 20, 'model__max_depth': 5, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.0001}",0.40009378137582097,0.3406318003298475,0.3488042584405069,0.3631766133820585,0.02631672772721288,8,,20.0,5,0.0001,,,,,
Decision tree,0.5564195315043131,0.012119080441223165,0.04935781160990397,0.005393077549557829,,balanced,"{'model__min_samples_leaf': 250, 'model__max_depth': 5, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.001}",0.3735883793921311,0.3403575599845969,0.3373996654953425,0.3504485349573569,0.016406839738384624,9,,250.0,5,0.001,,,,,
Decision tree,0.745697816212972,0.035373062048566814,0.05636469523111979,0.012314342466650948,,balanced,"{'model__min_samples_leaf': 50, 'model__max_depth': 12, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.0001}",0.3498267102968702,0.34306467994146594,0.33879958365860463,0.3438969912989802,0.004540112856231066,10,,50.0,12,0.0001,,,,,
PCA logistic regression,0.4167606830596924,0.03515448735723665,0.06307776769002278,0.00728731235419933,0.1,,"{'model__C': 0.1, 'model__class_weight': None, 'preprocess__numeric_pca__pca__n_components': 0.85}",0.4959389128538959,0.39323431215060567,0.3401920132186651,0.40978841274105554,0.06465190314943411,1,,,,,0.85,,,,
PCA logistic regression,0.32378093401590985,0.019585111750454055,0.05045580863952637,0.003540511281131425,1.0,,"{'model__C': 1.0, 'model__class_weight': None, 'preprocess__numeric_pca__pca__n_components': 0.85}",0.4958014749825171,0.39331621184637805,0.33997849518243495,0.40969872733711005,0.06466060299129733,2,,,,,0.85,,,,
PCA logistic regression,0.33696619669596356,0.012638912362871861,0.04934549331665039,0.0013451873020340428,0.1,,"{'model__C': 0.1, 'model__class_weight': None, 'preprocess__numeric_pca__pca__n_components': 0.95}",0.5018553536241042,0.3866483874222632,0.33943294724712136,0.4093122294311629,0.06821777297388959,3,,,,,0.95,,,,
PCA logistic regression,0.31299829483032227,0.003454134391283416,0.0518190066019694,0.0022078191421138946,1.0,,"{'model__C': 1.0, 'model__class_weight': None, 'preprocess__numeric_pca__pca__n_components': 0.95}",0.5018307446537568,0.3865586832397936,0.3392104344275538,0.40919995410703475,0.06829256516087952,4,,,,,0.95,,,,
PCA logistic regression,0.35172144571940106,0.013514935417557189,0.052973270416259766,0.005532620466147365,1.0,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'preprocess__numeric_pca__pca__n_components': 0.85}",0.4919937949228129,0.38793548709323405,0.339246927045361,0.406392069687136,0.0637096826360383,5,,,,,0.85,,,,
PCA logistic regression,0.3765934308369954,0.05563209284632114,0.05808464686075846,0.0065724037059703075,0.1,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'preprocess__numeric_pca__pca__n_components': 0.85}",0.4919825727954141,0.38792142598552204,0.3392462023322093,0.4063834003710485,0.06370626912754719,6,,,,,0.85,,,,
PCA logistic regression,0.40805912017822266,0.008506444604677314,0.05630342165629069,0.008962693790442608,0.1,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'preprocess__numeric_pca__pca__n_components': 0.95}",0.49742357550192007,0.3775375977682849,0.3366054511895224,0.4038555414865758,0.06824022712940314,7,,,,,0.95,,,,
PCA logistic regression,0.3374147415161133,0.013943829195398577,0.06767598787943523,0.021010723604275954,1.0,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'preprocess__numeric_pca__pca__n_components': 0.95}",0.49742400646375917,0.3774774431184409,0.33659966610029896,0.4038337052274997,0.06825006240586441,8,,,,,0.95,,,,
Random forest,9.972931782404581,0.27004091896215476,0.21846612294514975,0.005976840330209038,,,"{'model__min_samples_leaf': 15, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__class_weight': None}",0.5124674383062569,0.42772571959823,0.3811486513534559,0.4404472697526476,0.05436012221250245,1,,15.0,,,,sqrt,,,
Random forest,10.573135693868002,0.29773419616904223,0.2407541275024414,0.008465694148069105,,,"{'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 18, 'model__class_weight': None}",0.504686330466036,0.4300261973422818,0.37081108523324136,0.43517453768051967,0.05477544691869383,2,,5.0,18,,,sqrt,,,
Random forest,30.518558422724407,0.3206121574542166,0.21283880869547525,0.0018182862881033952,,balanced_subsample,"{'model__min_samples_leaf': 15, 'model__max_features': 0.7, 'model__max_depth': 18, 'model__class_weight': 'balanced_subsample'}",0.48980425194552074,0.4019454039098838,0.40678326605472437,0.4328443073033763,0.04032515920828451,3,,15.0,18,,,0.7,,,
Random forest,10.273327191670736,0.22657680726104595,0.2141245206197103,0.010222171905445785,,balanced_subsample,"{'model__min_samples_leaf': 15, 'model__max_features': 'sqrt', 'model__max_depth': None, 'model__class_weight': 'balanced_subsample'}",0.5037942378896387,0.3905923697162846,0.3948319527964136,0.4297395201341123,0.052393189331956365,4,,15.0,,,,sqrt,,,
Random forest,10.005045413970947,0.2646946623865052,0.21039017041524252,0.0016143920676973502,,balanced_subsample,"{'model__min_samples_leaf': 15, 'model__max_features': 'sqrt', 'model__max_depth': 18, 'model__class_weight': 'balanced_subsample'}",0.5017458298325693,0.39060545490049636,0.3958616333215226,0.42940430601819607,0.051198169913500895,5,,15.0,18,,,sqrt,,,
Random forest,7.926335096359253,0.17090480220970025,0.16329312324523926,0.0017861374457306162,,balanced_subsample,"{'model__min_samples_leaf': 40, 'model__max_features': 'sqrt', 'model__max_depth': 8, 'model__class_weight': 'balanced_subsample'}",0.5000809030308653,0.38947743121489503,0.3965539388853026,0.4287040910436876,0.05055364284461944,6,,40.0,8,,,sqrt,,,
Random forest,21.994682788848877,0.038901407636575354,0.16114886601765951,0.0009544589536833774,,balanced_subsample,"{'model__min_samples_leaf': 5, 'model__max_features': 0.7, 'model__max_depth': 8, 'model__class_weight': 'balanced_subsample'}",0.4705916392595921,0.35658024186374976,0.40909865713356275,0.4120901794189682,0.04659300082076869,7,,5.0,8,,,0.7,,,
Random forest,7.643419981002808,0.21477111277839517,0.14964660008748373,0.0003843705003194768,,balanced_subsample,"{'model__min_samples_leaf': 5, 'model__max_features': 'sqrt', 'model__max_depth': 8, 'model__class_weight': 'balanced_subsample'}",0.4821791823363823,0.3476440940630051,0.4022780682786873,0.41070044822602486,0.055245662618069444,8,,5.0,8,,,sqrt,,,
Histogram gradient boosting,0.5959069728851318,0.0722751976375998,0.06841619809468587,0.005639103719503209,,balanced,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 15, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.0, 'model__class_weight': 'balanced'}",0.5222635869437183,0.42511663253354376,0.39027418535583497,0.44588480161103233,0.055849727949234464,1,,100.0,,,,,15.0,0.1,0.0
Histogram gradient boosting,0.6524829069773356,0.0944658635280079,0.07228930791219075,0.010709590706201555,,balanced,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__learning_rate': 0.06, 'model__l2_regularization': 2.0, 'model__class_weight': 'balanced'}",0.5250717428585245,0.4152762873997884,0.3945510025020533,0.44496634425345544,0.05727152010543477,2,,20.0,,,,,15.0,0.06,2.0
Histogram gradient boosting,1.1233969529469807,0.07299853767108906,0.12212196985880534,0.014434438627523189,,balanced,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 15, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.5, 'model__class_weight': 'balanced'}",0.5134000855468783,0.4224075541850496,0.3949938809188127,0.4436005068835802,0.050608716355106616,3,,50.0,,,,,15.0,0.03,0.5
Histogram gradient boosting,1.1565411885579426,0.02110671658931198,0.1230616569519043,0.0030489084481994944,,,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 15, 'model__learning_rate': 0.03, 'model__l2_regularization': 2.0, 'model__class_weight': None}",0.511144329563284,0.4325101536783073,0.3812286046951829,0.44162769597892476,0.05342827637873476,4,,50.0,,,,,15.0,0.03,2.0
Histogram gradient boosting,1.0653689702351887,0.040915675891410694,0.11088220278422038,0.0028379266780571414,,,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 15, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.5, 'model__class_weight': None}",0.5077337747238824,0.4335667185742163,0.38104461823704483,0.44078170384504783,0.05197164356441782,5,,100.0,,,,,15.0,0.03,0.5
Histogram gradient boosting,0.5981853802998861,0.056596904513225486,0.0717298189798991,0.0020991835124796483,,balanced,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 15, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.0, 'model__class_weight': 'balanced'}",0.5164972309740828,0.4133835433787302,0.3906936937934475,0.44019148938208685,0.054745666303242915,6,,50.0,,,,,15.0,0.1,0.0
Histogram gradient boosting,0.8925860722859701,0.03064623169870778,0.08623838424682617,0.005794425255197176,,balanced,"{'model__min_samples_leaf': 50, 'model__max_leaf_nodes': 31, 'model__learning_rate': 0.06, 'model__l2_regularization': 0.0, 'model__class_weight': 'balanced'}",0.5073745977583817,0.4193902503395713,0.39357825846044864,0.4401143688528005,0.04871357460034696,7,,50.0,,,,,31.0,0.06,0.0
Histogram gradient boosting,0.6350964705149332,0.04937736896347313,0.06569329897562663,0.003412114150510808,,balanced,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 31, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.5, 'model__class_weight': 'balanced'}",0.5084865391559554,0.41816301359179625,0.3864941231073742,0.43771455861837527,0.05168645585345866,8,,100.0,,,,,31.0,0.1,0.5
Histogram gradient boosting,0.6903933684031168,0.05243039621745098,0.08118875821431477,0.017281571066078964,,balanced,"{'model__min_samples_leaf': 100, 'model__max_leaf_nodes': 31, 'model__learning_rate': 0.1, 'model__l2_regularization': 2.0, 'model__class_weight': 'balanced'}",0.5149889700022021,0.41689743648007815,0.37797971395126606,0.4366220401445154,0.057646503526216225,9,,100.0,,,,,31.0,0.1,2.0
Histogram gradient boosting,0.6582126617431641,0.03618812718793366,0.06189417839050293,0.002434926425772087,,,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__learning_rate': 0.1, 'model__l2_regularization': 0.5, 'model__class_weight': None}",0.4820589694933199,0.39971717295145254,0.3814070813429089,0.4210610745958938,0.04377497192168448,10,,20.0,,,,,63.0,0.1,0.5
