feature,outcome,outcome_label,nonmissing_n,mean,standard_deviation,q1,median,q3
baseline_sbp,0,No BP-defined IDH,97691,146.40059985054918,23.17338845063997,129.0,145.0,163.0
baseline_sbp,1,BP-defined IDH,9067,135.54968567332082,28.320687994398778,112.0,133.0,156.0
fluid_excess_pct,0,No BP-defined IDH,97691,4.30132402074131,3.244603213030113,2.7972027972027877,3.852596314907868,5.144032921810699
fluid_excess_pct,1,BP-defined IDH,9067,5.513684696053992,4.658807590823519,3.5488849064117884,4.799999999999997,6.273245765641203
initial_uf_ml_kg_h,0,No BP-defined IDH,97691,8.608600946630965,7.236736499295161,0.0,9.614711033274956,12.953367875647668
initial_uf_ml_kg_h,1,BP-defined IDH,9067,10.227528813380118,7.845552913273581,1.4314682036201023,11.104033970276008,14.763779527559056
prior_nadir_sbp,0,No BP-defined IDH,96945,124.17952447263913,21.816067151994677,109.0,124.0,139.0
prior_nadir_sbp,1,BP-defined IDH,8983,96.0925080708004,19.978846879193576,82.0,94.0,107.0
prior_idh_rate,0,No BP-defined IDH,96945,0.07563548544232854,0.10947996468129174,0.004040404040404,0.0354609929078014,0.0989898989898989
prior_idh_rate,1,BP-defined IDH,8983,0.2488117507889904,0.21857538222000994,0.0806451612903225,0.1782178217821782,0.37341365461847387
age_years,0,No BP-defined IDH,97691,65.94663786838092,12.54222424117984,58.0,66.0,75.0
age_years,1,BP-defined IDH,9067,65.37586853424506,13.028837671804672,58.0,65.0,76.0
