feature,nonmissing,minimum,q1,median,q3,maximum,iqr_lower_fence,iqr_upper_fence,iqr_flagged_n,iqr_flagged_pct,disposition
initial_conductivity_ms_cm,106758,10.0,13.9,14.0,14.1,20.0,13.600000000000001,14.399999999999999,13813,12.938608816201128,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
prior_idh_rate,105928,0.0,0.0058309037900874,0.0413223140495867,0.1147540983606557,1.0,-0.15755388806576504,0.27813889021650817,8275,7.81190997658787,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
fluid_excess_pct,106758,-28.743961352657,2.8451882845188274,3.925233644859816,5.250000000000004,64.94505494505493,-0.7620292887029381,8.85721757322177,3987,3.7346147361321873,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
fluid_excess_kg,106758,-23.8,1.5999999999999943,2.200000000000003,3.020000000000003,37.69999999999999,-0.5300000000000189,5.150000000000016,3945,3.6952734221322996,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
temperature,106758,35.0,36.2,36.4,36.5,39.5,35.75000000000001,36.949999999999996,2981,2.792296596039641,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
initial_blood_flow_ml_min,106758,2.0,176.0,210.0,248.0,400.0,68.0,356.0,2589,2.425110998707357,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
age_years,106758,18.0,58.0,66.0,75.0,94.0,32.5,100.5,1450,1.3582120309485004,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
dryweight,106758,30.0,49.6,55.3,65.5,136.0,25.750000000000004,89.35,1294,1.2120871503774893,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
initial_uf_l_h,106758,0.0,0.0,0.6,0.75,3.0,-1.125,1.875,1247,1.1680623466157103,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
weightstart,106758,30.6,51.58,57.8,68.56,172.7,26.109999999999992,94.03,1232,1.154011877330036,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
initial_uf_ml_kg_h,106758,0.0,0.0,9.71502590673575,13.111888111888112,92.87925696594428,-19.667832167832167,32.77972027972028,788,0.7381179864740816,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
baseline_dbp,106758,30.0,60.0,69.0,79.0,150.0,31.5,107.5,762,0.7137638397122464,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
baseline_pulse_pressure,106758,5.0,62.0,75.0,89.0,162.0,21.5,129.5,635,0.5948031997602053,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
prior_nadir_sbp,105928,37.0,106.0,122.0,138.0,198.0,58.0,186.0,336,0.3171965863605468,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
baseline_map,106758,50.666664,84.0,94.333336,105.333336,165.66667,51.999995999999996,137.33334000000002,323,0.3025534386181832,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
dialysis_vintage_years,105293,0.0,2.80082135523614,6.3709787816564,11.156741957563312,27.279945242984255,-9.733059548254618,23.69062286105407,18,0.01709515352397595,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
initial_dialysate_temp_c,106758,35.0,36.0,36.5,37.0,39.0,34.5,38.5,5,0.004683489761891381,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
baseline_sbp,106758,90.0,128.0,145.0,162.0,200.0,77.0,213.0,0,0.0,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
prior_session_count,106758,0.0,102.0,240.0,406.0,735.0,-354.0,862.0,0,0.0,"Retained after physiologic-range screening; IQR flags are descriptive, not automatic exclusions"
