component,explained_variance_ratio,cumulative_explained_variance
1,0.16173211942328125,0.16173211942328125
2,0.13106031568016505,0.2927924351034463
3,0.10309279267541298,0.3958852277788593
4,0.08747308743776772,0.48335831521662703
5,0.07386813621787085,0.5572264514344979
6,0.07206133927720984,0.6292877907117077
7,0.058741702322902496,0.6880294930346103
8,0.05008564233278296,0.7381151353673933
9,0.04984477097963235,0.7879599063470256
10,0.04813174953157282,0.8360916558785985
11,0.03983529778047634,0.8759269536590748
