feature,importance_mean,importance_sd
prior_nadir_sbp,0.07559226721950266,0.016125756953586545
prior_idh_rate,0.0587603837766094,0.011928090958201912
prior_session_idh,0.01736261883051242,0.008192811508236007
baseline_sbp,0.01376100159967017,0.002206395636382582
baseline_map,0.009226359240767923,0.001446210053229081
fluid_excess_pct,0.007768091225361415,0.0075988189801722995
baseline_pulse_pressure,0.0039553921001266035,0.0015019989419329945
initial_uf_ml_kg_h,0.0033215612254913277,0.002535835756783703
baseline_dbp,0.00308579148209686,0.0016023187103668044
DM,0.002665710795902977,0.0036892573702142738
fluid_excess_kg,0.0022894011513741527,0.00447839848383217
prior_session_count,0.0018492743205429374,0.004952557035784878
initial_blood_flow_ml_min,0.0017756559416479203,0.0009662675893598493
gender,0.0013108178471067655,0.001332947578948117
initial_conductivity_ms_cm,0.0012183279277515127,0.0006726699587327207
initial_dialysate_temp_c,0.0009994600791827998,0.000547341555309666
dialysis_vintage_years,0.0007242668701133784,0.00420522641792584
dryweight,0.00060161523192543,0.002629569019387547
age_years,2.2167045514089045e-05,0.0033663752152695795
temperature,-8.34069435129009e-05,0.0008262542168654166
weightstart,-0.0004420806067192279,0.002994565240964802
initial_uf_l_h,-0.0010344200003037929,0.0010745608002430723
