feature,feature_value,lime_coefficient,absolute_coefficient
prior_idh_rate,0.62,0.2010148928704643,0.2010148928704643
prior_nadir_sbp,72.0,0.15215372432656316,0.15215372432656316
prior_session_idh,1.0,0.07498750925170267,0.07498750925170267
fluid_excess_pct,8.487654,0.04638087266018231,0.04638087266018231
fluid_excess_kg,5.5,0.0339683299420021,0.0339683299420021
initial_uf_ml_kg_h,17.069701,0.028552177489550815,0.028552177489550815
initial_uf_l_h,1.2,0.026924430176947622,0.026924430176947622
DM,1,0.02072337446310386,0.02072337446310386
dialysis_vintage_years,5.25,0.01792159533361082,0.01792159533361082
age_years,60.0,0.01707776795432727,0.01707776795432727
prior_session_count,3.2188758248682006,0.01653435337837826,0.01653435337837826
baseline_pulse_pressure,52.0,0.01345887351754458,0.01345887351754458
baseline_dbp,66.0,-0.008472190732400027,0.008472190732400027
dryweight,64.8,-0.00792950912893442,0.00792950912893442
gender,F,0.007450609056375911,0.007450609056375911
baseline_sbp,118.0,0.0061451684087340695,0.0061451684087340695
weightstart,70.3,0.004488229861271735,0.004488229861271735
initial_blood_flow_ml_min,255.0,-0.0038546544296623932,0.0038546544296623932
initial_dialysate_temp_c,36.2,0.0033864175251138292,0.0033864175251138292
baseline_map,83.333333,-0.0023928436186481596,0.0023928436186481596
initial_conductivity_ms_cm,14.1,-0.001356945864672766,0.001356945864672766
temperature,36.4,0.0012736115864112596,0.0012736115864112596
