feature,mean_absolute_shap,mean_shap
prior_nadir_sbp,0.05168018702214111,0.02550004138103428
prior_idh_rate,0.041575033765070095,0.02510359865122804
fluid_excess_pct,0.017501902579565187,0.008522532634909496
prior_session_idh,0.016676720658205725,0.0069160194464539665
fluid_excess_kg,0.01487306146551744,0.008761846057988274
baseline_map,0.011914739742819577,0.006386870073354077
baseline_sbp,0.011411378381136697,0.006270727654340012
dialysis_vintage_years,0.006180581444906077,0.001581438693088248
prior_session_count,0.00541600814287374,0.00042508254088697043
baseline_dbp,0.005289095482889257,0.002096786750970764
DM,0.004347208946444803,-0.00044256683205250657
baseline_pulse_pressure,0.0038295333709812,0.0005839309279478793
dryweight,0.0033870736995896683,0.00022802435304426901
initial_uf_ml_kg_h,0.0033759654820654577,-0.00024172102799349844
age_years,0.0031091532633410147,-0.00040903163381684544
initial_uf_l_h,0.0027571523341136865,0.0006711830906080238
gender,0.0024462891663349137,0.00014387326563634821
weightstart,0.001962640805499952,0.00044157876328771855
initial_blood_flow_ml_min,0.0013423324706861941,0.00010789292989518526
initial_conductivity_ms_cm,0.0010368270113122976,-1.695624790407132e-05
initial_dialysate_temp_c,0.0010015458902137106,7.219061627095781e-06
temperature,0.0007881302276730219,0.00011445443784999401
